Date,Salutation,"Full Name",Gender,DOB,Email,Phone,Qualification,"Resume Link",Aadhaar,"Aadhaar Link",PAN,"Account No",IFSC
"2026-02-12 16:18",Mr.,"ABHINESH MAHINDRAKAR",Male,1975-01-24,abhinesh.mahindrakar.4672806@ves.ac.in,9096333934,bsc,,123456789876,,ABCDE1234F,12334567676,SBIN0001234
"2026-02-12 16:19",Mrs.,mansi,Male,1975-01-01,mansi4672806@ves.ac.in,9978765454,bsc,,123456789876,,ABCDE1234F,12334567676,SBIN0001234
"2026-02-12 16:20",Mr.,devesh,Male,1975-01-01,devesh4672806@ves.ac.in,9978765454,hindi,,123456789876,,ABCDE1234F,12334567676,SBIN0001234
"2026-02-12 16:33",Mr.,"ABHINESH MAHINDRAKAR",Male,1975-01-01,abhinesh.mahindrakar.4672806@ves.ac.in,9978765454,hindi,,123456789876,,ABCDE1234F,12334567676,SBIN0001234
"2026-02-12 16:34",Mr.,devsh,Male,1975-01-24,abhinesh.mahindrakar.4672806@ves.ac.in,9978765454,bsc,,123456789876,,ABCDE1234F,12334567676,SBIN0001234
"2026-02-12 16:35",Mr.,sam,Other,2019-06-03,abhinesh.mahindrakar.4672806@ves.ac.in,9978765454,hindi,,123456789876,,ABCDE1234F,12334567676,SBIN0001234
"2026-02-12 16:36",Ms.,yash,Male,1975-01-01,abhinesh.mahindrakar.4672806@ves.ac.in,9978765454,ytfs,,123456789876,,ABCDE1234F,12334567676,SBIN0001234
Date,"Faculty Name",Email,"Bill Date",Class,Semester,Subject,Month,"Theory Hrs","Theory Rate","Practical Hrs","Practical Rate","TOTAL AMOUNT"
"2026-02-12 17:01",abhi,abhinesh.mahindrakar.4672806@ves.ac.in,2026-02-17,tysdsda,4,hindi,October,,100,,100,0
"2026-02-25 15:08",Mr.,"ABHINESH MAHINDRAKAR",Male,1975-01-01,abhinesh.mahindrakar.4672806@ves.ac.in,9978765454,bsc,,123456789876,,ABCDE1234F,12334567676,SBIN0001234
"2026-02-25 15:21",Mr.,"Yadnyesh More",Male,1975-01-01,yadnyeshmore@gmail.com,7083336469,"bsc cs",,123456789012,,ABCDE1234F,12345678921,SBIN0012345
"2026-02-25 15:29",Mr.,"Yadnyesh More",Male,1975-01-01,yadnyeshmore@gmail.com,7083336469,"bsc cs",,123456789012,,ABCDE1234F,12345678921,SBIN0012345
"2026-02-25 15:31",Mr.,"Yadnyesh More",Male,1975-01-01,yadnyeshmore@gmail.com,7083336469,"bsc cs",,123456789012,,ABCDE1234F,12345678921,SBIN0012345
